Stones;SubPer
Gravel;SubPer
Rock;SubPer
Clay;SubPer
Mud;SubPer
Fucus sp.;AlgPer
Red algae;AlgPer
Annual algae;AlgPer
Chara tomentosa;ChaPer
Chara braunii;ChaPer
Zostera;VasPer
Potamogeton filiformis;VasPer
Potamogeton perfoliatus;VasPer
Saduria entomon;FauPcs
Balanus improvisus;FauPer
