"Stones";"SubPer";"null"
"Gravel";"SubPer";"null"
"Rock";"SubPer";"null"
"Clay";"SubPer";"null"
"Mud";"SubPer";"null"
"Fucus sp.";"AlgPer";"null"
"Red algae";"AlgPer";"null"
"Annual algae";"AlgPer";"null"
"Chara tomentosa";"ChaPer";"null"
"Chara braunii";"ChaPer";"null"
"Zostera";"VasPer";"null"
"Potamogeton filiformis";"VasPer";"null"
"Potamogeton perfoliatus";"VasPer";"null"
"Saduria entomon";"FauPcs";"null"
"Balanus improvisus";"FauPer";"null"
